date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:55:22	24/24	---M--	200	added ('OK')	text/plain	date:Sun,%2011%20Feb%202018%2011:11:32%20GMT	https://www.alliancelaptoptraining.com.np/robots.txt		(from )
21:55:22	54457/54457	---MC-	200	added ('OK')	text/html	date:Sat,%2014%20Dec%202019%2004:11:14%20GMT	https://www.alliancelaptoptraining.com.np/	E:/Rk/www.alliancelaptoptraining.com.np/index.html	(from )
21:55:23	7624/7624	---M--	200	added ('OK')	image/png	date:Fri,%2016%20Feb%202018%2018:25:12%20GMT	https://www.alliancelaptoptraining.com.np/front/img/logo.png	E:/Rk/www.alliancelaptoptraining.com.np/front/img/logo.png	(from https://www.alliancelaptoptraining.com.np/)
21:55:23	1468/1468	---M--	200	added ('OK')	text/css	date:Fri,%2016%20Feb%202018%2018:25:12%20GMT	https://www.alliancelaptoptraining.com.np/front/stylesheets/reset.css	E:/Rk/www.alliancelaptoptraining.com.np/front/stylesheets/reset.css	(from https://www.alliancelaptoptraining.com.np/)
21:55:23	21387/21387	---M--	200	added ('OK')	text/css	date:Tue,%2020%20Aug%202019%2006:28:13%20GMT	https://www.alliancelaptoptraining.com.np/front/stylesheets/main.css	E:/Rk/www.alliancelaptoptraining.com.np/front/stylesheets/main.css	(from https://www.alliancelaptoptraining.com.np/)
21:55:24	120055/120055	---M--	200	added ('OK')	text/css	date:Thu,%2018%20Jul%202019%2006:04:31%20GMT	https://www.alliancelaptoptraining.com.np/front/stylesheets/kitenepal/css/kitenepal.min.css	E:/Rk/www.alliancelaptoptraining.com.np/front/stylesheets/kitenepal/css/kitenepal.min.css	(from https://www.alliancelaptoptraining.com.np/)
21:55:24	31000/31000	---M-Z	200	added ('OK')	text/css	etag:%221544639720%22	https://maxcdn.bootstrapcdn.com/font-awesome/4.7.0/css/font-awesome.min.css	E:/Rk/maxcdn.bootstrapcdn.com/font-awesome/4.7.0/css/font-awesome.min.css	(from https://www.alliancelaptoptraining.com.np/)
21:55:24	3571/3571	---MCZ	200	added ('OK')	text/css	etag:W/%225afd4852-df3%22	https://cdnjs.cloudflare.com/ajax/libs/baguettebox.js/1.8.1/baguetteBox.min.css	E:/Rk/cdnjs.cloudflare.com/ajax/libs/baguettebox.js/1.8.1/baguetteBox.min.css	(from https://www.alliancelaptoptraining.com.np/)
21:55:26	25983/25983	---M--	200	added ('OK')	text/css	date:Fri,%2016%20Feb%202018%2018:25:12%20GMT	https://www.alliancelaptoptraining.com.np/front/stylesheets/aos.css	E:/Rk/www.alliancelaptoptraining.com.np/front/stylesheets/aos.css	(from https://www.alliancelaptoptraining.com.np/)
21:55:26	906/906	---MCZ	200	added ('OK')	application/javascript	date:Sat,%2014%20Dec%202019%2004:11:18%20GMT	http://widget.manychat.com/389847987797526.js	E:/Rk/widget.manychat.com/389847987797526.js	(from https://www.alliancelaptoptraining.com.np/)
21:55:28	54457/54457	---MC-	200	added ('OK')	text/html	date:Sat,%2014%20Dec%202019%2004:11:19%20GMT	https://www.alliancelaptoptraining.com.np/home	E:/Rk/www.alliancelaptoptraining.com.np/home.html	(from https://www.alliancelaptoptraining.com.np/)
